foot_id,garden_metric_osm
1,.28254935
30,.30856627
31,.41590336
35,.63347799
39,.30842158
53,.31132257
128,.6634199
143,.21518618
159,.33518845
167,.51652968
170,.19714303
177,.42265508
195,.59275091
196,.53187114
234,.70545644
249,.49902928
251,.82151818
255,.21249124
257,.47843397
316,.43802473
324,.60459441
333,.40800053
355,.44968542
403,.63407922
412,.48982212
432,.50799555
448,.38222432
483,.43895486
492,.29455298
523,.32012865
532,.56363195
539,.40425873
550,.44940847
555,.5477553
583,.38740239
621,.53376818
639,.7938109
645,.325297
656,.60504949
679,.57903451
716,.32906291
743,.39352921
775,.37570503
810,.41832298
832,.61196005
842,.61155063
858,.54910225
874,.22890657
880,.67174149
937,.37704051
938,.42642322
949,.41341835
955,.51203346
957,.55211401
1068,.44213912
1082,.3126379
1095,.30170965
1146,.3674508
1168,.60331506
1169,.48902312
1183,.23955789
1220,.34091803
1270,.47045183
1309,.41548225
1317,.39031547
1344,.68752456
1366,.39338589
1389,.28745934
1416,.20336989
1431,.36718667
1448,.30487514
1449,.40312114
1470,.27769887
1471,.34531036
1485,.18769056
1487,.31254619
1526,.22001481
1543,.52943176
1547,.25156146
1568,.48558
1576,.31723309
1590,.46876964
1604,.48001516
1620,.5328474
1633,.54777485
1636,.360719
1638,.33689827
1644,.27817339
1661,.37864381
1698,.41746348
1708,.24823762
1721,.30968255
1744,.3297866
1760,.47539318
1776,.35818136
1777,.48987517
1817,.27743253
1834,.54292119
1846,.35470983
1848,.30023855
1865,.37657508
1872,.3731958
1898,.48967266
1921,.48272389
1929,.48892108
1940,.42305359
1943,.62086362
2000,.41044077
2034,.27844065
2057,.35904074
2059,.60107315
2065,.37242615
2077,.55449009
2146,.28776008
2196,.33492479
2237,.3397063
2239,.55360007
2281,.21830054
2287,.3706044
2390,.56819499
2429,.32596084
2433,.46779898
2489,.43929371
2492,.43733123
2498,.30416322
2510,.46775565
2534,.43777084
2561,.23979983
2602,.35627428
2631,.34043637
2638,.14619055
2686,.45766392
2747,.22089273
2802,.39806095
2814,.36499554
2815,.29029778
2820,.47915795
2890,.23090409
2905,.33275974
2919,.10770287
2960,.33310452
2993,.22163573
2999,.39546716
3055,.42100608
3103,.30623367
3110,.17341754
3134,.4988232
3141,.28864577
3157,.37529191
3203,.23194724
3208,.42802835
3216,.21384571
3263,.40174848
3295,.25322211
3296,.34071514
3310,.40203831
3335,.34084707
3362,.83991599
3400,.24233878
3431,.27044564
3436,.35781598
3447,.3894026
3470,.34480894
3506,.22729926
3519,.44595656
3548,.63775736
3567,.30232686
3586,.22423768
3610,.3227182
3612,.34380347
3622,.47520217
3702,.38237703
3719,.54243338
3727,.3518351
3743,.41784957
3774,.50538498
3793,.53673309
3803,.43066278
3836,.42797011
3848,.31122053
3851,.21010798
3854,.38955528
3877,.38661164
3880,.34146199
3886,.34271681
3920,.64433461
3943,.31220302
3960,.43766281
3972,.32201436
3976,.50732207
3983,.20047183
3986,.31001636
4005,.28141239
4010,.69010907
4017,.39154443
4022,.44049323
4027,.48232266
4028,.34515652
4030,.4401013
4046,.5245043
4057,.37511089
4090,.48441276
4104,.41404784
4114,.42617425
4120,.57438117
4128,.43719396
4145,.61005658
4186,.50070715
4211,.41875643
4234,.48039848
4260,.34771484
4273,.39702767
4295,.39586103
4296,.47984806
4323,.42823088
4336,.41653842
4374,.30294886
4381,.61193252
4389,.37504825
4401,.36717352
4407,.48710552
4494,.35632449
4533,.3950668
4540,.17676856
4602,.46841627
4659,.51173067
4660,.46879256
4683,.48616925
4696,.50738633
4713,.64519304
4741,.2800526
4751,.39580142
4802,.41417336
4833,.52413762
4840,.20562574
4855,.30845627
4912,.31020159
4930,.32159257
4955,.51658678
4961,.40142015
4963,.53228039
4976,.43174934
4990,.16481672
4998,.44692254
5028,.56193984
5031,.43156576
5073,.63964927
5097,.68154454
5109,.35489866
5126,.50140572
5139,.23003465
5152,.63979656
5156,.53073967
5250,.36909297
5284,.46519476
5303,.39992678
5336,.46377707
5350,.62628114
5375,.48282626
5398,.57443875
5400,.34186652
5427,.43337113
5492,.40020981
5503,.21524595
5515,.48381034
5518,.35749426
5524,.47158343
5556,.19671729
5624,.37900665
5632,.67145354
5665,.48781747
5696,.48554671
5698,.33867571
5768,.58098173
5798,.53747952
5832,.40997091
5839,.29767138
5857,.60188085
5865,.28052559
5873,.36309373
5904,.3576045
5915,.49708912
5923,.2355884
5953,.31674486
5972,.37029046
5978,.45688206
5993,.45561698
6004,.25037003
6047,.60724902
6058,.45790771
6062,.4298943
6078,.42805147
6080,.34448293
6111,.33850223
6114,.55615735
6126,.47113857
6135,.47483215
6149,.50600922
6171,.3759484
6177,.580293
6191,.51332974
6196,.54259712
6200,.36883324
6218,.51150477
6225,.37058669
6241,.43432209
6278,.41734087
6288,.638309
6334,.37464616
6355,.43864197
6360,.3971698
6368,.61005086
6369,.60267442
6422,.5131641
6426,.45211813
6498,.39959511
6564,.47960994
6585,.31578308
6602,.40270981
6610,.52542245
6701,.39732632
6720,.40391892
6770,.39117488
6779,.4341093
6791,.18991597
6854,.38356715
6864,.18748045
6935,.42848247
6956,.58149028
6957,.41359553
6968,.29893586
6969,.46998185
7000,.40852022
7015,.42908686
7032,.3321375
7033,.5486095
7062,.38579938
7088,.41151246
7093,.4067539
7096,.49314922
7145,.53358901
7153,.6333549
7157,.40587765
7165,.32459342
7205,.43086374
7219,.53819448
7220,.34312043
7248,.42763147
7263,.63247401
7279,.50495362
7280,.40835091
7299,.34202042
7308,.29548693
7310,.49748287
7351,.38567355
7441,.17026402
7513,.40896785
7526,.27724952
7533,.34903556
7547,.43454596
7574,.24816893
7577,.33546764
7591,.34705746
7644,.42723164
7670,.42173994
7671,.5089258
7673,.35793114
7706,.25888729
7736,.26582831
7752,.27172413
7810,.24832802
7834,.30020574
7844,.36767706
7887,.50643688
7890,.5595634
7928,.18894993
7936,.54491866
7943,.43273056
7947,.48610431
8044,.28914678
8064,.32276857
8109,.377639
8143,.4214192
8251,.50636357
8262,.53275871
8418,.44810051
8455,.47096738
8529,.28591225
8574,.38328382
8612,.45338956
8696,.54920864
8708,.44101176
8731,.35184884
8735,.43213528
8780,.40639105
8801,.21484821
8831,.13808084
8835,.44505337
8872,.28398114
8876,.25406733
8896,.42994362
8910,.16062783
8935,.39149344
8939,.39483759
8946,.37029254
8985,.46685186
8994,.36545464
9009,.24105662
9013,.10083401
9022,.54222506
9028,.5614143
9055,.24079347
9086,.35372075
9098,.38122064
9160,.19859722
9219,.3629427
9238,.58409661
9266,.49424148
9287,.3604953
9308,.44581592
9314,.47088045
9316,.1783735
9318,.31747216
9322,.38789329
9332,.32568896
9360,.359631
9372,.69370055
9379,.33682722
9382,.55306971
9396,.44027498
9412,.3884747
9414,.31068447
9424,.37610978
9426,.2511569
9428,.36677521
9473,.38428518
9506,.35749492
9507,.4731715
9512,.34474289
9518,.40022939
9519,.2832762
9522,.42429876
9531,.43404001
9535,.35638821
9541,.34863961
9545,.6396544
9554,.45911014
9556,.28670871
9572,.34717819
9578,.17496714
9602,.38355011
9610,.42294699
9629,.39909276
9651,.23067668
9670,.42249641
9677,.43715191
9705,.29640687
9710,.2081362
9716,.51017499
9726,.38719633
9740,.22050944
9753,.27463016
9757,.32481274
9778,.36316031
9822,.52888221
9825,.49235791
9830,.30654854
9848,.41892868
9908,.22729178
9918,.81588662
9930,.41120872
9983,.32910767
9987,.37263113
9991,.35277924
10003,.32505473
10016,.58167523
10017,.3588793
10020,.34064484
10021,.43902668
10030,.49131674
10052,.42552295
10054,.29005587
10068,.40376872
